Shopping Mall Name,Location,Address,Opening Date,Developer,Management,Owner,Number of Stores,Number of Floors,Floor Area,Transit Access,Website,Wesbite,Postal,Latitude,Longitude
Compass One,"Compassvale, Sengkang, Singapore",1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078,"1 August 2002; 18 years ago (as Compass Point)
1 September 2016; 4 years ago (as Compass One)",Frasers Centrepoint,M&G Real Estate,M&G Real Estate,208,8 floors,," NE16  STC  Sengkang
Sengkang
Compassvale",,www.compassone.sg,545078,1.392054305,103.8950639
Hougang Mall,"90 Hougang Avenue 10, Singapore 538766",90 HOUGANG AVENUE 10 HOUGANG MALL SINGAPORE 538766,1997; 23 years ago,,AsiaMalls Management Pte Ltd,ARMF (Hougang Mall) Private Limited,134,7,, NE14  CR8  Hougang,,www.hougangmall.com.sg,538766,1.372483087,103.8937881
Heartland Mall,"205 Hougang Street 21, Singapore 530205",205 HOUGANG STREET 21 UOB HEARTLAND MALL SINGAPORE 530205,1984; 36 years ago,,,Housing and Development Board[1],,4,, NE13  Kovan,,,530205,1.359544509,103.8851691
NEX,"Serangoon New Town, Singapore",23 SERANGOON CENTRAL NEX SINGAPORE 556083,25 November 2010; 9 years ago,,,,340,"7 (B2, B1, 1-4, 4R)",, NE12  CC13  Serangoon,,www.nex.com.sg,556083,1.350675521,103.8718616
Greenwich V,,1 SELETAR ROAD GREENWICH V SINGAPORE 807011,,,,,,,,,,,807011,1.387603302,103.8694236
myVillage @ Serangoon,,,,,,,,,,,,,,,
Oasis Terraces,"681 Punggol Drive, Singapore 820681",681 PUNGGOL DRIVE OASIS TERRACES SINGAPORE 820681,15 June 2018; 2 years ago[2],HDB,,HDB,,,," PE6  Oasis
50, 386, 386A, 591, 593, 666, G110, G194",,www.singhealth.com.sg/Pages/home.aspx,820681,1.402634601,103.9132706
Punggol Plaza,"Punggol, Singapore",168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168,September 2004; 16 years ago,Housing and Development Board,Abundance Development Pte Ltd,Abundance Development Pte Ltd[1],50,6 (2 basement levels),," PE3  Coral Edge
3, 62, 83, 381, 386, 569, 591, 593, 666, 729, 744",,Punggol Plaza,820168,1.394256298,103.9130435
The Seletar Mall,"Fernvale, Singapore",33 SENGKANG WEST AVENUE THE SELETAR MALL SINGAPORE 797653,28 November 2014; 5 years ago[1],,The Seletar Mall Pte. Ltd,"SPH (70%)
United Engineers Limited (30%)",132,6,, SW5  Fernvale,,www.theseletarmall.com,797653,1.391501926,103.8761716
Upper Serangoon Shopping Centre,,756 UPPER SERANGOON ROAD UPPER SERANGOON SHOPPING CENTRE SINGAPORE 534626,,,,,,,,,,,534626,1.353480883,103.8788284
Bukit Panjang Plaza,,1 JELEBU ROAD BUKIT PANJANG PLAZA SINGAPORE 677743,,,,,,,,,,,677743,1.379882914,103.7643778
HillV2,,4 HILLVIEW RISE HILLV2 SINGAPORE 667979,,,,,,,,,,,667979,1.363550958,103.7642361
Junction 10,"1 Woodlands Road, Singapore 677899",1 WOODLANDS ROAD JUNCTION 10 SINGAPORE 677899,"1998; 22 years ago (as Ten Mile Junction)
30 December 2011; 8 years ago (as Junction 10)",Far East Organization,Far East Retail,Far East Organization,More than 60,4,,,,Junction10,677899,1.380605125,103.7600416
Limbang Shopping Centre,,534 CHOA CHU KANG STREET 51 LIMBANG SHOPPING CENTRE SINGAPORE 680534,,,,,,,,,,,681533,1.391648655,103.7433872
Lot One,"21 Choa Chu Kang Avenue 4, Singapore 689812",21 CHOA CHU KANG AVENUE 4 SHAW THEATRES LOT ONE SINGAPORE 689812,August 1996; 24 years ago,,,CapitaMall Trust,148,6,, NS4  JS1  BP1  Choa Chu Kang,,Lot One,689812,1.385069923,103.7452389
West Mall,"Bukit Batok, Singapore",1 BUKIT BATOK CENTRAL LINK WEST MALL SINGAPORE 658713,1998; 22 years ago,,,,156,8,, NS2  Bukit Batok,,www.westmall.com.sg,658713,1.350189166,103.749022
The Clementi Mall,"3155 Commonwealth Avenue West, Singapore 129588",3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588,"14 January 2011; 9 years ago (operational)
21 May 2011; 9 years ago (official)[1]",,,"CM Domain Pte Ltd, Singapore Press Holdings, NTUC",135,6,," EW23  Clementi
Clementi",,theclementimall.com,129588,1.315496754,103.7645702
IMM, Singapore,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601,29 June 1991; 29 years ago,,,CapitaLand Mall Trust,"248 retail, 388 non-retail",,,Free Shuttle Bus Service at International Business Park,,imm.sg/en,609601,1.334917588,103.7468771
