Shopping Mall Name,Location,Address,Latitude,Longitude,Opening Date,Developer,Management,Owner,Number of Stores,Number of Floors,Floor Area,Transit Access,Website,Wesbite,SearchVal,Postal
Eastpoint Mall,"3 Simei Street 6, Singapore 528833",3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833,1.342586441,103.9530723,December 1996; 23 years ago,Far East Organisation,Frasers Property,NTUC Income Insurance Co-Operative Pte Ltd,180,8 (2 basements + 6 retail levels),, EW3  Simei,,www.eastpoint.sg,EASTPOINT MALL,528833
Bedok Mall,"Bedok, Singapore",311 NEW UPPER CHANGI ROAD BEDOK MALL SINGAPORE 467360,1.3246689740000002,103.9294055,3 December 2013; 6 years ago,,CapitaMalls Asia,CapitaMalls Asia,195,3,," EW5  Bedok
Bedok",,bedokmall.com.sg/en,BEDOK MALL,467360
Bedok Point,"Bedok, Singapore",799 NEW UPPER CHANGI ROAD BEDOK POINT SINGAPORE 467351,1.324801026,103.932384,"16 December 2010; 9 years ago (Soft)
26 April 2011; 9 years ago (Official)",Frasers Centrepoint,Frasers Centrepoint,Frasers Centrepoint Trust,75,6 (including 2 basements),," EW5  Bedok
Bedok",,bedokpoint.fraserscentrepointmalls.com,BEDOK POINT,467351
112 Katong,"Joo Chiat, Singapore",112 EAST COAST ROAD 112 KATONG SINGAPORE 428802,1.305086818,103.90509890000001,Nov-11,,Perennial (Singapore) Retail Management Pte. Ltd.,Alpha Investment Pte Ltd,160 tenants,7,,,,112katong.com.sg,112 KATONG,428802
Parkway Parade,"Marine Parade, Singapore",80 MARINE PARADE ROAD PARKWAY PARADE SINGAPORE 449269,1.301080033,103.9052818,December 1983; 36 years ago,Parkway Holdings,Lendlease,"Mixed-use development with sub-divided strata ownership, owned by Parkway Parade Partnership Limited fund managed by Lend Lease",270,7,,,,www.parkwayparade.com.sg,PARKWAY PARADE,449269
Kallang Wave Mall,"Kallang, Singapore",1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,1.303843272,103.8727507,27 June 2014; 6 years ago,,Singapore Sports Hub,,,,, CC6  Stadium,,www.sportshub.com.sg/directory,KALLANG WAVE MALL,397628
Leisure Park Kallang,"Kallang, Singapore",5 STADIUM WALK LEISURE PARK KALLANG SINGAPORE 397693,1.302337453,103.87644920000001,"1982; 38 years ago (original)
November 2007; 13 years ago (rebuilt)",,,Jack Investments,71,6,, CC6  Stadium,,www.leisurepark.com.sg,LEISURE PARK KALLANG,397693
Jewel Changi Airport,"Changi, Singapore",78 AIRPORT BOULEVARD JEWEL CHANGI AIRPORT SINGAPORE 819666,1.360331745,103.9896703,,,,"Changi Airport Group
CapitaLand
Jewel Changi Airport Trustee Pte. Ltd.",,,,,,,JEWEL CHANGI AIRPORT,819666
AMK Hub,"Ang Mo Kio, Singapore",57 ANG MO KIO AVENUE 3 AMK HUB SINGAPORE 567751,1.3693892269999999,103.848478,May 2007; 13 years ago,,Mercatus Ltd,Mercatus Ltd,201,7,," NS16  CR11  Ang Mo Kio
Ang Mo Kio",,AMK Hub,AMK HUB,567751
Canberra Plaza,"Sembawang, Singapore",133 CANBERRA VIEW CANBERRA PLAZA SINGAPORE 750133,1.443245232,103.8305235,2020,Housing & Development Board,Knight Frank[1],Housing & Development Board,,3 with 1 level basement,," NS12  Canberra
117, 169/169A, 883/883M[2]",,Official Website,CANBERRA PLAZA,750133
Causeway Point,"Woodlands, Singapore",1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099,1.4360886769999999,103.78601,Nov-98,Frasers Centrepoint,Frasers Centrepoint,Frasers Centrepoint Trust,250,9,," NS9  TE2  Woodlands
Woodlands Bus Interchange",,causewaypoint.com.sg,CAUSEWAY POINT,738099
Northpoint City,"Yishun, Singapore",NORTHPOINT CITY,1.428113577,103.83606309999999,"November 1992; 28 years ago (North Wing)
December 2017; 2 years ago (South Wing)",Frasers Centrepoint,Frasers Centrepoint,Frasers Centrepoint Trust,400,7,," NS13  Yishun
Yishun",,Northpoint City,NORTHPOINT CITY,NIL
