Station Code,Station Status,Station Address,Opening Date,Planning Area,Connection(s)
NE12,Operating,Serangoon MRT Station,20-Jun-03,Serangoon,Serangoon Bus Interchange
CC13,Operating,Serangoon MRT Station,20-Jun-03,Serangoon,Serangoon Bus Interchange
CR9,Future,Serangoon North MRT Station,2029,"Hougang, Serangoon",
TE19,Future,Shenton Way MRT Station,2021,Downtown Core,
TE28,Future,Siglap MRT Station,2023,Bedok,
EW3,Operating,Simei MRT Station,16-Dec-89,Tampines,
DT7,Operating,Sixth Avenue MRT Station,27-Dec-15,Bukit Timah,
NS23,Operating,Somerset MRT Station,12-Dec-87,Orchard Planning Area,
TE4,Future,Springleaf MRT Station,2021,Yishun,
CC6,Operating,Stadium MRT Station,17-Apr-10,Kallang,
TE11,Future,Stevens MRT Station,27-Dec-15,"Novena, Tanglin",
DT10,Operating,Stevens MRT Station,27-Dec-15,"Novena, Tanglin",
DT37,Future,Sungei Bedok MRT Station,2024,Bedok,
TE31,Future,Sungei Bedok MRT Station,2024,Bedok,
NS6,Future,Sungei Kadut MRT Station,Mid-2030s,Sungei Kadut,
DT,Future,Sungei Kadut MRT Station,Mid-2030s,Sungei Kadut,
CC11,Operating,Tai Seng MRT Station,17-Apr-10,"Hougang, Toa Payoh",
DT33,Operating,Tampines East MRT Station,21-Oct-17,Tampines,
EW2,Operating,Tampines MRT Station,16-Dec-89,Tampines,"Tampines Bus Interchange,  Tampines Concourse Bus Interchange"
DT32,Operating,Tampines MRT Station,16-Dec-89,Tampines,"Tampines Bus Interchange,  Tampines Concourse Bus Interchange"
CR6,Future,Tampines North MRT Station,2029,Tampines,Tampines North Bus Interchange
DT31,Operating,Tampines West MRT Station,21-Oct-17,Tampines,
DT8,Operating,Tan Kah Kee MRT Station,27-Dec-15,Bukit Timah,
TE,Future,Tanah Merah MRT Station,4-Nov-89,Bedok,
EW4,Operating,Tanah Merah MRT Station,4-Nov-89,Bedok,
CG,Operating,Tanah Merah MRT Station,4-Nov-89,Bedok,
TE25,Future,Tanjong Katong MRT Station,2023,Marine Parade,
EW15,Operating,Tanjong Pagar MRT Station,12-Dec-87,Downtown Core,Shenton Way Bus Terminal
TE23,Future,Tanjong Rhu MRT Station,2023,Kallang,
CR10,Future,Tavistock MRT Station,2029,Serangoon,
JW2,Future,Tawas MRT Station,2026,Western Water Catchment,
CR12,Future,Teck Ghee MRT Station,2029,"Ang Mo Kio, Bishan",
